Platform,Post_Type,Post_Content,Post_Timestamp,Likes,Comments,Shares,Impressions,Reach,Engagement_Rate,Audience_Age,Audience_Gender,Audience_Location,Sentiment,Post_Day,Content_Length
Facebook,Image,Process edge have open executive market.,2023-12-03 01:59:37,228,444,37,8002,1581,44.85,27,Other,Nepal,Negative,Sunday,40
Instagram,Image,Read scene car.,2023-12-03 00:44:42,433,336,63,1223,970,85.77,57,Female,Namibia,Positive,Sunday,15
Facebook,Video,Game woman light yeah few skill different.,2023-12-03 00:31:31,851,210,5,5418,2517,42.35,48,Male,Morocco,Negative,Sunday,42
LinkedIn,Video,Their and expert serve.,2023-12-03 00:03:06,124,156,42,3370,1497,21.51,49,Male,Bulgaria,Neutral,Sunday,23
Twitter,Video,Several there way short remain.,2023-12-02 23:10:45,848,184,15,6485,2302,45.48,36,Male,Liberia,Neutral,Saturday,31
LinkedIn,Image,Street control serve us east.,2023-12-02 22:41:55,573,108,77,7538,3842,19.73,27,Female,India,Neutral,Saturday,29
Facebook,Link,Million probably interview father mother pretty issue daughter.,2023-12-02 21:26:52,32,296,115,4562,3489,12.7,60,Female,Canada,Positive,Saturday,63
Facebook,Image,Free group go fill.,2023-12-02 21:04:15,411,193,152,2914,1509,50.1,63,Other,Korea,Positive,Saturday,19
LinkedIn,Video,Teach window option third.,2023-12-02 20:23:01,136,68,12,6043,2112,10.23,30,Other,Dominica,Negative,Saturday,26
Facebook,Link,Blood table live.,2023-12-02 20:18:20,153,258,27,5639,628,69.75,35,Male,Peru,Negative,Saturday,17
LinkedIn,Image,Couple reason describe fear herself per church.,2023-12-02 19:54:48,835,336,101,6140,3441,36.97,52,Other,Guinea-Bissau,Negative,Saturday,47
LinkedIn,Link,Candidate tough authority individual.,2023-12-02 19:35:41,926,30,76,1726,4685,22.03,53,Female,Saint Barthelemy,Negative,Saturday,37
Facebook,Image,Much southern spring its interview fly almost.,2023-12-02 18:41:38,564,394,45,8170,3055,32.83,64,Male,New Caledonia,Neutral,Saturday,46
Facebook,Link,Defense citizen similar young fact boy.,2023-12-02 18:40:46,538,104,52,7153,4184,16.59,50,Male,Benin,Positive,Saturday,39
Facebook,Link,Family face entire fight five meet.,2023-12-02 18:07:04,15,474,200,2880,4969,13.87,43,Other,Saint Lucia,Neutral,Saturday,35
Twitter,Video,Lot wrong million.,2023-12-02 18:06:19,58,171,47,5880,2006,13.76,19,Female,South Africa,Negative,Saturday,18
Facebook,Link,Personal administration western.,2023-12-02 17:29:49,99,122,119,5520,4283,7.94,56,Female,Belarus,Neutral,Saturday,32
Instagram,Video,Speak spend only window reach.,2023-12-02 16:24:24,535,130,21,4434,2261,30.34,19,Other,Turkmenistan,Positive,Saturday,30
Facebook,Link,Dinner write star.,2023-12-02 16:19:10,285,482,111,3119,2576,34.08,55,Other,Bahamas,Negative,Saturday,18
Facebook,Video,Director certainly protect perform per hotel where.,2023-12-02 15:33:28,963,313,76,6524,1929,70.09,57,Male,Guinea-Bissau,Neutral,Saturday,51
Instagram,Link,College success there along sea half character.,2023-12-02 14:43:33,20,310,176,7606,4635,10.92,30,Female,Ukraine,Negative,Saturday,47
Twitter,Link,White nice remain court side.,2023-12-02 13:40:13,674,155,143,8835,4453,21.83,46,Other,Saint Vincent and the Grenadines,Neutral,Saturday,29
LinkedIn,Image,Method result yourself which just five.,2023-12-02 13:03:01,144,65,189,7943,1895,21.0,60,Female,American Samoa,Negative,Saturday,39
LinkedIn,Link,Threat few agree.,2023-12-02 13:02:56,123,50,150,2839,2892,11.17,37,Female,Albania,Neutral,Saturday,17
Instagram,Image,Nothing event best one about executive board.,2023-12-02 12:50:20,499,292,10,7036,3479,23.02,50,Female,Belgium,Negative,Saturday,45
LinkedIn,Link,Civil necessary establish develop call speech tax.,2023-12-02 11:04:05,466,131,56,2277,2022,32.29,37,Male,Congo,Positive,Saturday,50
Instagram,Link,And among scene effect family.,2023-12-02 10:27:52,227,158,115,2264,1079,46.34,64,Female,Suriname,Neutral,Saturday,30
Facebook,Image,Behavior reach phone marriage talk audience improve.,2023-12-02 09:35:51,867,491,192,2411,3909,39.65,58,Female,Western Sahara,Neutral,Saturday,52
Facebook,Link,Agent particularly read hair.,2023-12-02 08:40:31,994,423,107,9579,3273,46.56,22,Other,Slovenia,Neutral,Saturday,29
Facebook,Image,Serious yes attorney and operation detail challenge.,2023-12-02 06:52:10,598,420,200,2741,2601,46.83,55,Male,Faroe Islands,Positive,Saturday,52
Twitter,Video,Security product coach learn.,2023-12-02 06:32:04,943,165,71,8598,3095,38.09,54,Other,Philippines,Neutral,Saturday,29
LinkedIn,Image,Purpose wall agent general stock cup responsibility.,2023-12-02 06:19:18,188,118,79,8872,1145,33.62,28,Other,Mongolia,Positive,Saturday,52
Instagram,Video,Method apply off yeah sometimes movement.,2023-12-02 06:11:53,629,421,24,4325,1752,61.3,21,Other,Marshall Islands,Negative,Saturday,41
Facebook,Link,Story choice gun hair.,2023-12-02 05:15:58,360,100,32,6610,3102,15.86,47,Female,British Indian Ocean Territory (Chagos Archipelago),Positive,Saturday,22
Instagram,Link,Left during nature bank reality.,2023-12-02 04:42:26,745,59,76,4716,1300,67.69,19,Other,Oman,Negative,Saturday,32
Twitter,Video,Wait feeling appear ago treat manager sign.,2023-12-02 04:05:43,583,378,172,6178,1831,61.88,42,Female,Switzerland,Negative,Saturday,43
Facebook,Image,Have interesting attorney firm to else establish.,2023-12-02 03:08:39,581,439,64,4960,3064,35.38,63,Male,Colombia,Negative,Saturday,49
Instagram,Video,Animal leg why wide edge answer main.,2023-12-02 02:56:33,8,88,48,3790,2442,5.9,26,Female,Nauru,Negative,Saturday,37
Instagram,Image,That look direction price anyone.,2023-12-02 02:50:27,433,127,92,3042,1818,35.86,55,Male,Bahrain,Negative,Saturday,33
Twitter,Image,Save lay over measure yard almost many pass.,2023-12-02 02:42:19,510,319,90,4590,1591,57.76,56,Female,Saint Martin,Negative,Saturday,44
Facebook,Image,Human film meet boy interest same concern area.,2023-12-02 02:40:04,117,222,164,9722,1244,40.43,41,Other,Cape Verde,Neutral,Saturday,47
LinkedIn,Video,Third other peace play body federal near.,2023-12-02 02:22:48,794,240,174,1298,1745,69.23,58,Other,Equatorial Guinea,Negative,Saturday,41
Instagram,Video,Company around in kid everybody know.,2023-12-02 01:48:04,905,67,83,2957,2041,51.69,24,Other,Czech Republic,Negative,Saturday,37
Facebook,Link,Recent ago letter face happen part majority.,2023-12-02 01:46:09,618,99,198,2995,4335,21.11,20,Male,Norfolk Island,Negative,Saturday,44
Instagram,Image,Road interview outside answer perhaps important range.,2023-12-02 01:08:55,236,97,93,4385,4392,9.7,26,Other,Greenland,Negative,Saturday,54
Instagram,Video,Sort bag pass fill gun tend almost.,2023-12-02 00:43:38,446,154,81,2593,1605,42.43,51,Male,Hong Kong,Neutral,Saturday,35
Instagram,Video,In group member hear end parent explain.,2023-12-01 23:49:27,857,399,17,1911,2913,43.7,56,Other,American Samoa,Neutral,Friday,40
Facebook,Image,Half threat fall evening either.,2023-12-01 22:58:18,232,395,14,3969,4158,15.42,44,Female,Guadeloupe,Positive,Friday,32
LinkedIn,Link,Mother growth miss attack.,2023-12-01 22:43:20,702,19,109,8916,4955,16.75,53,Male,Guinea,Positive,Friday,26
Facebook,Video,Claim never nature visit brother policy in.,2023-12-01 22:30:39,308,479,150,4942,4750,19.73,25,Female,Guam,Negative,Friday,43
Facebook,Image,Stock politics industry pattern fast.,2023-12-01 22:20:47,725,398,162,9581,2430,52.88,59,Other,Saint Vincent and the Grenadines,Negative,Friday,37
Instagram,Video,Talk cover size kitchen picture high.,2023-12-01 21:30:50,51,444,4,2468,2155,23.16,40,Other,Palau,Negative,Friday,37
Twitter,Link,Bar adult agent son my oil.,2023-12-01 21:27:21,2,413,14,4929,3310,12.96,51,Female,Timor-Leste,Positive,Friday,27
LinkedIn,Link,Case suddenly hotel and open water song.,2023-12-01 21:07:28,689,427,148,6588,4228,29.9,61,Male,Niue,Positive,Friday,40
Facebook,Video,Life various activity where manager.,2023-12-01 20:37:51,420,87,153,6552,1232,53.57,18,Other,Yemen,Neutral,Friday,36
LinkedIn,Video,I hope protect hit lot.,2023-12-01 20:20:26,207,141,102,1477,4257,10.57,31,Female,Niger,Negative,Friday,23
LinkedIn,Link,Church think shoulder everyone action model.,2023-12-01 19:08:12,542,250,80,9696,3066,28.44,55,Male,Burkina Faso,Negative,Friday,44
Facebook,Link,Where kind assume just contain best might event.,2023-12-01 19:01:37,453,406,115,3171,1017,95.77,55,Male,Argentina,Neutral,Friday,48
Twitter,Video,Science organization ball nice.,2023-12-01 18:54:40,486,467,100,4523,2156,48.84,61,Other,Lebanon,Negative,Friday,31
LinkedIn,Video,Price him require interview college.,2023-12-01 17:25:26,775,245,14,5454,4902,21.09,50,Female,Guernsey,Positive,Friday,36
Instagram,Image,Structure set thought may.,2023-12-01 17:14:48,33,319,24,8063,805,46.71,24,Male,Slovenia,Positive,Friday,26
Twitter,Video,Market behind represent consumer public three.,2023-12-01 17:00:47,968,105,79,7079,3523,32.7,30,Female,United States of America,Positive,Friday,46
Instagram,Link,Road plan need rich report decade bring.,2023-12-01 16:52:58,776,396,53,8046,3241,37.8,59,Other,Mozambique,Neutral,Friday,40
Facebook,Video,Us item improve wind.,2023-12-01 15:52:07,50,45,159,9335,2336,10.87,59,Female,Rwanda,Negative,Friday,21
Instagram,Image,Structure adult fly stay seat.,2023-12-01 15:02:07,824,139,173,9420,2588,43.89,44,Male,Nauru,Negative,Friday,30
Facebook,Video,Actually race institution clearly.,2023-12-01 13:45:59,129,452,80,3070,1371,48.21,59,Female,Saint Vincent and the Grenadines,Positive,Friday,34
Facebook,Image,Serious receive old catch.,2023-12-01 13:01:34,178,194,168,1251,2744,19.68,19,Male,Syrian Arab Republic,Positive,Friday,26
Twitter,Video,Word career seven firm per.,2023-12-01 12:59:11,162,148,168,5462,3073,15.55,18,Male,Hungary,Positive,Friday,27
LinkedIn,Link,Whole two fall pick big section coach.,2023-12-01 11:03:51,834,167,123,8253,3014,37.29,53,Other,Dominica,Neutral,Friday,38
Twitter,Image,Accept unit civil development strategy individual candidate.,2023-12-01 10:42:22,322,109,185,1050,4657,13.23,64,Female,United States Virgin Islands,Neutral,Friday,60
Twitter,Image,Rich letter property offer life she consumer.,2023-12-01 10:17:55,300,462,135,5054,1387,64.67,30,Male,Slovakia (Slovak Republic),Negative,Friday,45
Instagram,Image,Medical then someone campaign industry floor.,2023-12-01 09:58:53,327,194,161,4311,3864,17.65,64,Male,Puerto Rico,Negative,Friday,45
Twitter,Video,End outside enjoy happy he.,2023-12-01 09:52:51,886,358,188,7078,2269,63.11,45,Other,Bouvet Island (Bouvetoya),Neutral,Friday,27
LinkedIn,Link,Maybe consider almost step understand.,2023-12-01 05:21:48,414,453,159,4581,1775,57.8,53,Female,Antigua and Barbuda,Positive,Friday,38
Instagram,Image,Style name since lose bring serious.,2023-12-01 05:06:56,585,339,86,8384,1837,54.98,52,Male,Mali,Negative,Friday,36
Facebook,Image,Government list local heart western once.,2023-12-01 04:19:08,175,424,194,7070,1341,59.13,30,Male,Kiribati,Neutral,Friday,41
Twitter,Video,Enjoy image involve remain back.,2023-12-01 04:08:20,414,469,183,3143,2633,40.49,58,Female,Aruba,Positive,Friday,32
Facebook,Video,Seven condition modern major represent movie clear.,2023-12-01 03:00:31,325,181,4,7034,3720,13.71,46,Other,Saint Kitts and Nevis,Negative,Friday,51
Facebook,Video,Decade throw light water him recent.,2023-12-01 02:24:21,904,422,130,4016,4006,36.35,29,Other,Montenegro,Positive,Friday,36
LinkedIn,Video,Allow him claim feel peace enjoy environment.,2023-12-01 02:23:59,288,251,19,5540,1396,39.97,34,Other,Saint Lucia,Neutral,Friday,45
Twitter,Link,Way one inside same detail rise building.,2023-12-01 01:46:54,651,69,10,1860,3516,20.76,44,Male,Uganda,Negative,Friday,41
Facebook,Video,Their class difficult.,2023-12-01 01:29:59,746,258,149,9100,4025,28.65,45,Other,Turkmenistan,Negative,Friday,22
Instagram,Link,Lot region position school.,2023-12-01 00:55:03,295,51,40,9396,3399,11.36,44,Female,China,Neutral,Friday,27
Instagram,Image,Deep reach that lose at catch green total.,2023-12-01 00:40:20,575,333,108,1818,2095,48.5,29,Female,Slovakia (Slovak Republic),Positive,Friday,42
Facebook,Image,Stay far total culture cell account.,2023-12-01 00:36:32,134,368,94,3772,4339,13.74,21,Other,Korea,Positive,Friday,36
Instagram,Image,Create start major yet month.,2023-11-30 23:53:29,781,224,22,5171,3079,33.35,33,Female,Moldova,Neutral,Thursday,29
Instagram,Image,Score task project question attorney suggest.,2023-11-30 23:01:33,66,242,83,3458,3447,11.34,21,Other,Afghanistan,Negative,Thursday,45
Facebook,Video,Class discussion long talk.,2023-11-30 22:58:39,599,140,139,8633,3962,22.16,24,Male,Faroe Islands,Neutral,Thursday,27
Instagram,Video,Move exactly scientist up find watch baby.,2023-11-30 22:33:38,16,369,59,4571,2895,15.34,23,Other,New Zealand,Positive,Thursday,42
Instagram,Link,Road require effect gun.,2023-11-30 21:02:36,610,136,79,6236,2938,28.08,33,Male,Algeria,Negative,Thursday,24
Instagram,Image,Offer current forget why nice.,2023-11-30 20:20:11,488,211,6,7432,2953,23.87,20,Female,Iceland,Negative,Thursday,30
Instagram,Video,Third pattern support learn hundred edge.,2023-11-30 19:59:24,999,4,180,8735,4430,26.7,40,Other,Malta,Neutral,Thursday,41
LinkedIn,Image,Make along stand for work.,2023-11-30 19:54:21,707,191,103,5203,4387,22.82,32,Male,Georgia,Neutral,Thursday,26
Twitter,Link,Blue real mean beautiful pattern.,2023-11-30 19:53:26,290,299,52,4108,2138,29.98,51,Female,French Polynesia,Negative,Thursday,33
Twitter,Image,Today position have someone.,2023-11-30 19:41:19,575,299,48,3867,2512,36.7,18,Female,Bermuda,Negative,Thursday,28
Instagram,Link,Wife represent establish effect education sure.,2023-11-30 18:48:06,260,415,42,9666,2449,29.28,31,Male,Turkey,Positive,Thursday,47
LinkedIn,Image,Most blood land that.,2023-11-30 18:35:35,323,492,162,9066,1585,61.64,24,Male,Egypt,Positive,Thursday,21
Facebook,Image,Yourself media trial improve world he involve.,2023-11-30 17:33:51,153,227,196,4970,1590,36.23,56,Other,Thailand,Neutral,Thursday,46
Facebook,Video,Deep increase almost much.,2023-11-30 17:05:38,553,383,90,5736,3631,28.26,24,Male,Philippines,Positive,Thursday,26
Facebook,Video,White on community.,2023-11-30 16:27:12,228,184,6,9977,819,51.04,41,Male,Tuvalu,Positive,Thursday,19
Instagram,Video,Away same century appear.,2023-11-30 15:56:56,885,203,147,1407,2939,42.02,62,Female,Azerbaijan,Positive,Thursday,25
LinkedIn,Image,Sense economy campaign.,2023-11-30 15:12:44,618,210,134,8615,3270,29.42,62,Male,Vanuatu,Neutral,Thursday,23
Instagram,Image,True owner future.,2023-11-30 14:19:33,202,443,143,4977,3944,19.98,57,Other,Antigua and Barbuda,Neutral,Thursday,18
LinkedIn,Image,Identify wall this business.,2023-11-30 13:20:57,499,312,195,3034,3111,32.34,31,Male,Bouvet Island (Bouvetoya),Negative,Thursday,28
Twitter,Video,Then less performance huge difference trial point.,2023-11-30 13:12:22,566,484,133,6900,1397,84.68,23,Male,Fiji,Positive,Thursday,50
Facebook,Image,Site use office off treatment avoid.,2023-11-30 13:11:47,822,12,63,6574,4448,20.17,32,Other,Equatorial Guinea,Negative,Thursday,36
Twitter,Link,Window either compare ok lead cold art.,2023-11-30 13:03:38,441,392,156,1351,2557,38.68,54,Female,American Samoa,Negative,Thursday,39
Facebook,Video,Say will start around perform live.,2023-11-30 12:54:41,809,83,159,5519,3092,33.99,52,Male,Montenegro,Negative,Thursday,35
Twitter,Link,Real walk them remember.,2023-11-30 12:06:19,40,39,187,4159,3259,8.16,47,Male,Slovakia (Slovak Republic),Neutral,Thursday,24
LinkedIn,Video,Run represent dark actually.,2023-11-30 10:38:23,211,473,115,2063,4078,19.59,60,Male,Seychelles,Neutral,Thursday,28
LinkedIn,Image,Population early degree newspaper work news.,2023-11-30 09:09:12,901,393,92,3664,4836,28.66,22,Female,Wallis and Futuna,Negative,Thursday,44
LinkedIn,Link,Term policy consumer will middle possible watch.,2023-11-30 08:26:53,195,15,161,3726,2382,15.58,39,Female,Panama,Positive,Thursday,48
Twitter,Video,Find serious its prepare front civil room small.,2023-11-30 07:43:29,465,289,199,3653,3221,29.59,43,Female,Western Sahara,Negative,Thursday,48
Twitter,Image,Style week ever cover.,2023-11-30 07:40:55,414,375,77,1157,1946,44.5,48,Male,South Africa,Positive,Thursday,22
Facebook,Link,Kitchen free history last.,2023-11-30 07:33:39,825,387,20,9533,4200,29.33,42,Male,Denmark,Neutral,Thursday,26
Twitter,Video,Figure visit they.,2023-11-30 07:26:51,493,271,74,1737,3764,22.26,37,Other,Turks and Caicos Islands,Positive,Thursday,18
Instagram,Image,Company of end stay but.,2023-11-30 07:14:09,464,342,77,2015,1517,58.21,65,Other,Sri Lanka,Neutral,Thursday,24
Instagram,Video,Help though sport.,2023-11-30 06:51:56,749,440,142,4505,2068,64.36,48,Female,Sudan,Negative,Thursday,18
Twitter,Video,With paper movement investment occur.,2023-11-30 06:48:12,559,490,72,9282,2804,39.98,28,Female,Saint Martin,Negative,Thursday,37
LinkedIn,Video,Although reason his above opportunity.,2023-11-30 06:47:46,687,186,87,6090,4238,22.65,55,Male,Haiti,Neutral,Thursday,38
Instagram,Video,Property discover nearly stuff fight quite series three.,2023-11-30 06:40:14,206,108,40,3856,3867,9.15,50,Female,Anguilla,Negative,Thursday,56
LinkedIn,Video,Goal record because production.,2023-11-30 06:37:06,133,335,118,7994,2287,25.62,40,Other,Zambia,Neutral,Thursday,31
LinkedIn,Image,Great both color religious wear parent.,2023-11-30 05:03:39,993,482,86,2656,4436,35.19,57,Other,Libyan Arab Jamahiriya,Negative,Thursday,39
Instagram,Video,Government foot agree itself.,2023-11-30 01:26:10,770,432,4,1124,3659,32.96,58,Male,French Polynesia,Positive,Thursday,29
Twitter,Video,Ten family guess close voice dinner clearly.,2023-11-30 00:32:42,433,190,115,6061,2392,30.85,42,Male,Mali,Positive,Thursday,44
LinkedIn,Image,Last job western great stand.,2023-11-30 00:15:29,239,394,22,3944,2312,28.33,29,Male,Yemen,Positive,Thursday,29
Facebook,Link,Operation language single history western sort give involve.,2023-11-29 23:47:50,944,336,10,1096,3903,33.05,37,Other,San Marino,Negative,Wednesday,60
Facebook,Video,Year one art production.,2023-11-29 23:43:00,592,433,51,4711,3341,32.21,42,Female,Djibouti,Neutral,Wednesday,24
Twitter,Image,Hand consumer third budget stuff me.,2023-11-29 23:23:40,313,423,51,2692,1221,64.46,37,Other,Montserrat,Positive,Wednesday,36
Twitter,Link,Impact include assume tree provide in.,2023-11-29 22:31:54,383,167,74,7636,3748,16.65,33,Female,Colombia,Negative,Wednesday,38
Facebook,Video,Civil left end agent kind ball.,2023-11-29 22:01:57,10,245,8,4819,4018,6.55,39,Other,Kuwait,Positive,Wednesday,31
Facebook,Video,Buy state approach decide.,2023-11-29 21:35:09,792,244,141,2197,2560,45.98,64,Other,Uganda,Negative,Wednesday,26
Twitter,Video,Lot again still decide production.,2023-11-29 21:29:45,885,158,161,2140,1412,85.27,58,Male,Pakistan,Positive,Wednesday,34
Instagram,Link,Realize really tonight entire author.,2023-11-29 21:05:02,158,80,4,6831,2692,8.99,63,Other,El Salvador,Negative,Wednesday,37
LinkedIn,Video,When answer history.,2023-11-29 20:43:39,262,139,197,5368,2436,24.55,24,Female,Netherlands,Negative,Wednesday,20
Twitter,Video,Sense although imagine nothing need perform even.,2023-11-29 20:30:34,262,40,127,7454,3563,12.04,43,Other,Malaysia,Positive,Wednesday,49
Twitter,Link,Morning floor art we to name.,2023-11-29 19:42:22,557,375,14,7460,3097,30.55,25,Female,Namibia,Positive,Wednesday,29
Instagram,Video,Beautiful culture fact agreement game.,2023-11-29 18:59:48,744,157,20,9013,2578,35.73,57,Female,Ethiopia,Positive,Wednesday,38
Facebook,Video,Stay away it require.,2023-11-29 18:46:07,927,499,20,4059,3965,36.47,33,Other,Suriname,Neutral,Wednesday,21
Facebook,Link,Capital open too be fight activity improve.,2023-11-29 18:37:53,652,78,14,4149,2899,25.66,40,Male,Svalbard & Jan Mayen Islands,Neutral,Wednesday,43
Facebook,Image,Brother service of ten memory age.,2023-11-29 17:33:55,209,200,93,3110,1311,38.29,29,Other,Cook Islands,Negative,Wednesday,34
Instagram,Video,Leader along everyone exist toward fly.,2023-11-29 15:31:18,813,137,163,4506,1714,64.94,34,Other,Spain,Neutral,Wednesday,39
Instagram,Video,Thought for newspaper miss.,2023-11-29 14:01:27,368,365,127,6402,1656,51.93,29,Female,Sweden,Negative,Wednesday,27
Twitter,Link,Rock player least nearly always who business.,2023-11-29 13:58:00,765,368,123,9976,3265,38.47,63,Other,Canada,Positive,Wednesday,45
Twitter,Link,Sort my show phone group vote same house.,2023-11-29 13:07:06,647,119,173,1462,2765,33.96,35,Female,Cameroon,Negative,Wednesday,41
Facebook,Link,Than suffer here either.,2023-11-29 11:41:30,312,97,184,1549,1952,30.38,47,Female,Hungary,Negative,Wednesday,24
Twitter,Link,Section receive everything attorney people.,2023-11-29 11:40:35,321,35,130,7896,3916,12.41,28,Male,Netherlands,Negative,Wednesday,43
LinkedIn,Image,Yourself feel worry also message reveal.,2023-11-29 10:20:36,525,320,179,1725,4429,23.12,40,Female,Antarctica (the territory South of 60 deg S),Positive,Wednesday,40
Instagram,Link,Sort something rise young return available remember.,2023-11-29 10:19:56,695,77,124,8232,2289,39.14,40,Female,Greece,Negative,Wednesday,52
LinkedIn,Video,Score hour standard region.,2023-11-29 09:41:27,310,229,170,9656,974,72.79,40,Male,Bermuda,Positive,Wednesday,27
Instagram,Video,Yet mind fall wind.,2023-11-29 09:40:02,862,357,113,9153,4011,33.21,30,Male,Argentina,Neutral,Wednesday,19
LinkedIn,Video,Thus compare voice customer.,2023-11-29 09:23:12,622,228,94,6680,3208,29.43,38,Other,Denmark,Negative,Wednesday,28
LinkedIn,Video,Soldier themselves better give.,2023-11-29 09:23:09,828,381,43,3425,1412,88.67,45,Male,Costa Rica,Negative,Wednesday,31
Twitter,Link,Card any spring box.,2023-11-29 09:16:37,155,267,138,4121,2607,21.48,27,Other,Israel,Neutral,Wednesday,20
Facebook,Link,This mention form cold.,2023-11-29 09:16:15,543,36,132,2773,2785,25.53,40,Other,Congo,Positive,Wednesday,23
Twitter,Video,Study region home structure four let hotel.,2023-11-29 08:32:48,492,186,189,8412,4932,17.58,22,Male,Oman,Neutral,Wednesday,43
Facebook,Link,Keep hold each true either prepare with audience.,2023-11-29 07:21:06,325,83,110,9513,4616,11.22,30,Female,Uruguay,Neutral,Wednesday,49
LinkedIn,Link,Add chair second remain glass wear space.,2023-11-29 05:38:05,641,313,111,1087,4137,25.74,41,Male,Gibraltar,Positive,Wednesday,41
LinkedIn,Link,Rate service rule purpose school.,2023-11-29 05:34:17,358,194,164,8674,1170,61.2,53,Male,Burkina Faso,Negative,Wednesday,33
Instagram,Image,Matter where health future pass.,2023-11-29 04:50:45,888,366,37,7226,2497,51.7,63,Female,Andorra,Neutral,Wednesday,32
Facebook,Link,Voice general front agreement realize half when.,2023-11-29 03:32:59,756,315,107,6493,4843,24.32,62,Female,Bosnia and Herzegovina,Positive,Wednesday,48
Instagram,Video,Involve raise ask both.,2023-11-29 03:32:46,433,95,97,8724,1019,61.33,29,Other,Saint Kitts and Nevis,Positive,Wednesday,23
Facebook,Image,Two yes news after.,2023-11-29 02:16:13,104,417,8,1155,813,65.07,54,Female,Ghana,Negative,Wednesday,19
Instagram,Video,Gas couple few hospital head.,2023-11-29 01:46:18,139,168,81,9483,4074,9.52,30,Female,Saint Vincent and the Grenadines,Positive,Wednesday,29
Facebook,Video,We ready movie here southern same require deal.,2023-11-29 01:17:58,472,249,16,7150,2547,28.94,24,Female,Macao,Positive,Wednesday,47
Twitter,Link,Per under despite culture Congress movement blood.,2023-11-29 00:57:33,671,309,15,9093,3151,31.58,23,Female,Liechtenstein,Neutral,Wednesday,50
LinkedIn,Video,House war determine prepare available fear recognize.,2023-11-29 00:37:09,783,42,105,1606,1664,55.89,23,Other,Mayotte,Positive,Wednesday,53
Instagram,Video,Through recently eat simple response unit.,2023-11-28 23:57:25,797,88,122,5264,4853,20.75,40,Male,Comoros,Neutral,Tuesday,42
LinkedIn,Video,Reveal body sea listen admit career often.,2023-11-28 23:17:53,140,228,114,5158,2477,19.46,48,Other,South Georgia and the South Sandwich Islands,Positive,Tuesday,42
Facebook,Video,Mention sing bank stop night.,2023-11-28 23:00:52,345,206,136,4602,3788,18.14,21,Female,Cayman Islands,Positive,Tuesday,29
Twitter,Video,Plan call allow meet low science thought.,2023-11-28 22:28:42,111,252,69,7659,4533,9.53,19,Male,Samoa,Positive,Tuesday,41
LinkedIn,Image,Chair worker cold old arm itself.,2023-11-28 22:12:12,688,439,41,8348,1939,60.24,43,Other,Myanmar,Positive,Tuesday,33
Facebook,Link,Ok stay protect decision similar though.,2023-11-28 21:37:43,830,67,26,3106,2671,34.56,64,Male,Saint Lucia,Negative,Tuesday,40
Facebook,Image,Benefit follow suggest perform drive real.,2023-11-28 20:55:29,574,186,125,3298,1559,56.77,50,Female,South Africa,Positive,Tuesday,42
Instagram,Link,Simple wear push responsibility.,2023-11-28 20:41:58,53,195,87,9695,600,55.83,48,Other,Ghana,Negative,Tuesday,32
LinkedIn,Video,Future morning serious fast a myself image traditional.,2023-11-28 20:32:29,989,83,84,7932,2057,56.2,34,Female,Northern Mariana Islands,Negative,Tuesday,55
Twitter,Link,Message strong natural while speech tonight view sister.,2023-11-28 20:09:31,148,432,73,8258,2878,22.69,64,Female,Lesotho,Positive,Tuesday,56
Twitter,Link,To same share until accept.,2023-11-28 20:01:16,502,380,63,6211,3962,23.85,37,Female,Czech Republic,Negative,Tuesday,27
LinkedIn,Video,Bring stand receive age pay others.,2023-11-28 18:27:12,277,211,143,1447,4330,14.57,19,Female,Brazil,Positive,Tuesday,35
Twitter,Video,Pass possible foot determine.,2023-11-28 17:52:07,446,85,85,7514,4135,14.9,37,Female,Samoa,Neutral,Tuesday,29
Instagram,Image,Into cell too throw hold.,2023-11-28 17:44:16,164,485,59,4166,4904,14.44,30,Other,Falkland Islands (Malvinas),Neutral,Tuesday,25
Twitter,Video,Far event take why before.,2023-11-28 17:39:36,215,166,119,5199,4951,10.1,22,Male,Aruba,Negative,Tuesday,26
Instagram,Video,Eight per particular close adult indicate true detail.,2023-11-28 17:01:10,527,187,92,8182,2153,37.44,24,Other,Cocos (Keeling) Islands,Neutral,Tuesday,54
Instagram,Link,Phone beat necessary popular every maybe degree.,2023-11-28 16:49:06,859,439,144,4280,1529,94.31,41,Other,Nauru,Negative,Tuesday,48
Instagram,Video,Relate whether power almost.,2023-11-28 16:06:33,257,438,127,7087,4766,17.25,22,Male,Greece,Negative,Tuesday,28
Instagram,Image,Thing might team old investment.,2023-11-28 15:16:59,965,283,171,4360,4740,29.94,65,Female,Angola,Neutral,Tuesday,32
Instagram,Video,Drop oil agent run share yes.,2023-11-28 15:09:50,343,455,90,8173,1315,67.53,23,Male,Korea,Positive,Tuesday,29
Instagram,Image,Lot one rule federal.,2023-11-28 14:19:35,407,299,43,1948,3505,21.37,35,Male,Rwanda,Negative,Tuesday,21
Instagram,Image,May play economic.,2023-11-28 14:06:51,574,79,41,3409,2514,27.61,63,Female,British Virgin Islands,Positive,Tuesday,18
Instagram,Link,Congress meet case.,2023-11-28 13:02:06,900,130,14,7099,1287,81.12,50,Female,Rwanda,Neutral,Tuesday,19
Facebook,Video,Deal article yourself ago move candidate establish.,2023-11-28 12:13:06,206,472,132,6777,3762,21.53,62,Other,Belarus,Negative,Tuesday,51
